north(m) east(m),
817241.6033 838944.5324,
817240.6709 838939.7901,
817239.7385 838935.0477,
817238.8061 838930.3054,
817237.8737 838925.563,
817236.9413 838920.8207,
817236.0089 838916.0784,
817235.0764 838911.336,
817234.144 838906.5937,
817233.2116 838901.8514,
817232.2792 838897.109,
817231.3468 838892.3667,
817230.4144 838887.6243,
817229.482 838882.882,
817228.4434 838878.0542,
817227.4048 838873.2264,
817226.3661 838868.3987,
817225.3275 838863.5709,
817224.2889 838858.7431,
817223.2503 838853.9153,
817222.2116 838849.0875,
817221.173 838844.2598,
817220.1344 838839.432,
817219.0958 838834.6042,
817218.0571 838829.7764,
817217.0185 838824.9486,
817215.9799 838820.1209,
817214.9413 838815.2931,
817213.9026 838810.4653,
817212.864 838805.6375,
817211.8254 838800.8097,
817210.7868 838795.982,
817209.7481 838791.1542,
817208.7095 838786.3264,
817207.6709 838781.4986,
817206.6323 838776.6708,
817205.5936 838771.8431,
817204.555 838767.0153,
817203.5164 838762.1875,
817202.4778 838757.3597,
817201.4392 838752.5319,
817200.4005 838747.7042,
817199.3619 838742.8764,
817198.3233 838738.0486,
817197.2847 838733.2208,
817196.246 838728.393,
817195.2074 838723.5653,
817194.1688 838718.7375,
817193.1302 838713.9097,
817192.0915 838709.0819,
817191.0529 838704.2541,
817190.0143 838699.4264,
817188.9757 838694.5986,
817187.937 838689.7708,
817186.8984 838684.943,
817185.8598 838680.1152,
817184.8212 838675.2875,
817183.7825 838670.4597,
817182.7439 838665.6319,
817181.7053 838660.8041,
817180.6667 838655.9763,
817179.628 838651.1486,
817178.5894 838646.3208,
817177.5508 838641.493,
817176.9804 838636.8026,
817176.4099 838632.1123,
817175.8395 838627.4219,
817175.269 838622.7315,
817174.6986 838617.8193,
817174.1281 838612.907,
817173.5577 838607.9948,
817172.9872 838603.0825,
817172.7156 838598.7362,
817172.4439 838594.3899,
817172.1723 838590.0436,
817171.9006 838585.6973,
817171.629 838581.351,
817171.3573 838577.0047,
817171.0857 838572.6584,
817171.1762 838568.2578,
817171.2668 838563.8571,
817171.3573 838559.4565,
817171.4479 838555.0559,
817171.5384 838550.6553,
817171.629 838546.2546,
817171.7195 838541.854,
817171.8209 838537.189,
817171.9223 838532.5239,
817172.0238 838527.8589,
817172.1252 838523.1938,
817172.2266 838518.5288,
817171.9368 838513.9108,
817171.6471 838509.2929,
817171.3573 838504.6749,
817171.0676 838500.057,
817170.7778 838495.439,
817170.4881 838490.8211,
817170.1983 838486.2031,
817169.6704 838482.3572,
817169.1424 838478.5113,
817168.9159 838476.8614,
817168.589 838474.48,
817168.589 838474.48,
817168.2592 838472.0627,
817167.5941 838467.1874,
817166.929 838462.312,
817166.0274 838457.882,
817165.1259 838453.452,
817164.2243 838449.022,
817163.3227 838444.592,
817162.4211 838440.162,
817161.5196 838435.732,
817160.618 838431.302,
817159.5115 838426.4656,
